State,District,Soil_Type,Season,Temperature,Humidity,Rainfall,Previous_Crop,Recommended_Crop
Uttar Pradesh,Ayodhya,Sandy Soil,Rabi,30.6,54,31.9,Cotton,Watermelon
Uttar Pradesh,Ayodhya,Red Soil,Whole Year,20.3,89,182.5,Grapes,Millets
Uttar Pradesh,Ayodhya,Laterite Soil,Kharif,22.5,42,274.3,Mango,Coffee
Uttar Pradesh,Ayodhya,Laterite Soil,Zaid,34.9,46,244.4,Coconut,Tea
Uttar Pradesh,Ayodhya,Black Soil,Kharif,24.1,58,34.3,Jute,Jowar
Uttar Pradesh,Ayodhya,Laterite Soil,Zaid,22.7,44,33.8,Coffee,Coffee
Uttar Pradesh,Ayodhya,Alluvial Soil,Whole Year,37.4,43,205.9,Coffee,Wheat
Uttar Pradesh,Ayodhya,Red Soil,Zaid,22.4,79,77.4,Jute,Millets
Uttar Pradesh,Ayodhya,Sandy Soil,Whole Year,28.1,81,245.7,Papaya,Groundnut
Uttar Pradesh,Ayodhya,Loamy Soil,Rabi,19.1,76,299.2,Mungbean,Wheat
Uttar Pradesh,Ayodhya,Alluvial Soil,Zaid,30.9,64,73.8,Mango,Maize
Uttar Pradesh,Ayodhya,Black Soil,Rabi,24.4,48,162.5,Rice,Jowar
Uttar Pradesh,Ayodhya,Red Soil,Zaid,28.4,59,271.4,Mothbeans,Millets
Uttar Pradesh,Ayodhya,Black Soil,Kharif,21.7,55,169.4,Coconut,Jowar
Uttar Pradesh,Ayodhya,Alluvial Soil,Whole Year,30.9,75,232.2,Orange,Wheat
Uttar Pradesh,Ayodhya,Laterite Soil,Zaid,21.1,45,285.9,Mango,Coffee
Uttar Pradesh,Ayodhya,Laterite Soil,Kharif,36.2,73,188.0,Banana,Coffee
Uttar Pradesh,Azamgarh,Red Soil,Rabi,31.2,82,70.2,Muskmelon,Millets
Uttar Pradesh,Azamgarh,Sandy Soil,Zaid,33.2,87,210.2,Orange,Watermelon
Uttar Pradesh,Azamgarh,Laterite Soil,Rabi,36.2,57,99.4,Papaya,Cashew
Uttar Pradesh,Azamgarh,Sandy Soil,Kharif,22.6,72,46.8,Papaya,Muskmelon
Uttar Pradesh,Azamgarh,Alluvial Soil,Rabi,27.2,85,145.5,Apple,Rice
Uttar Pradesh,Azamgarh,Alluvial Soil,Zaid,32.0,66,319.0,Coconut,Maize
Uttar Pradesh,Azamgarh,Red Soil,Rabi,23.9,95,133.1,Maize,Pulses
Uttar Pradesh,Azamgarh,Laterite Soil,Zaid,32.8,71,131.4,Rice,Tea
Uttar Pradesh,Azamgarh,Alluvial Soil,Rabi,27.4,79,81.9,Papaya,Wheat
Uttar Pradesh,Azamgarh,Red Soil,Rabi,34.1,68,215.6,Chickpea,Millets
Uttar Pradesh,Azamgarh,Red Soil,Rabi,34.5,80,58.7,Lentil,Millets
Uttar Pradesh,Azamgarh,Loamy Soil,Zaid,24.2,81,309.1,Pigeonpeas,Sugarcane
Uttar Pradesh,Azamgarh,Alluvial Soil,Whole Year,21.7,69,203.1,Grapes,Rice
Uttar Pradesh,Azamgarh,Red Soil,Whole Year,28.7,51,52.2,Blackgram,Groundnut
Uttar Pradesh,Azamgarh,Alluvial Soil,Whole Year,33.0,51,149.3,Lentil,Rice
Uttar Pradesh,Azamgarh,Laterite Soil,Zaid,37.7,84,183.0,Kidneybeans,Tea
Uttar Pradesh,Azamgarh,Loamy Soil,Rabi,32.3,83,72.6,Maize,Rice
Uttar Pradesh,Azamgarh,Black Soil,Rabi,28.5,87,226.3,Kidneybeans,Jowar
Uttar Pradesh,Azamgarh,Red Soil,Kharif,22.9,76,41.4,Rice,Pulses
Uttar Pradesh,Azamgarh,Loamy Soil,Kharif,22.3,69,159.6,Pigeonpeas,Rice
Uttar Pradesh,Badaun,Red Soil,Rabi,39.6,63,184.3,Papaya,Pulses
Uttar Pradesh,Badaun,Laterite Soil,Kharif,36.6,49,309.2,Grapes,Coffee
Uttar Pradesh,Badaun,Sandy Soil,Kharif,22.6,70,86.5,Coffee,Groundnut
Uttar Pradesh,Badaun,Sandy Soil,Zaid,28.2,59,27.1,Mango,Watermelon
Uttar Pradesh,Badaun,Red Soil,Rabi,37.6,49,161.4,Coconut,Pulses
Uttar Pradesh,Badaun,Sandy Soil,Rabi,18.7,67,57.1,Banana,Muskmelon
Uttar Pradesh,Badaun,Sandy Soil,Rabi,27.9,67,156.2,Watermelon,Watermelon
Uttar Pradesh,Badaun,Loamy Soil,Rabi,38.1,91,154.6,Papaya,Wheat
Uttar Pradesh,Badaun,Laterite Soil,Kharif,38.3,66,321.9,Mungbean,Coffee
Uttar Pradesh,Badaun,Loamy Soil,Kharif,29.0,93,60.9,Rice,Wheat
Uttar Pradesh,Badaun,Laterite Soil,Rabi,24.8,79,140.0,Kidneybeans,Cashew
Uttar Pradesh,Badaun,Sandy Soil,Kharif,25.6,93,74.9,Kidneybeans,Watermelon
Uttar Pradesh,Badaun,Red Soil,Kharif,19.2,94,216.9,Cotton,Pulses
Uttar Pradesh,Badaun,Red Soil,Zaid,29.3,86,132.2,Chickpea,Pulses
Uttar Pradesh,Badaun,Loamy Soil,Kharif,38.5,58,311.3,Jute,Wheat
Uttar Pradesh,Badaun,Black Soil,Kharif,26.0,79,197.6,Rice,Cotton
Uttar Pradesh,Badaun,Loamy Soil,Zaid,20.3,45,343.9,Maize,Maize
Uttar Pradesh,Badaun,Laterite Soil,Kharif,39.5,54,263.5,Mothbeans,Coffee
Uttar Pradesh,Badaun,Laterite Soil,Rabi,22.7,80,318.7,Chickpea,Coffee
Uttar Pradesh,Badaun,Laterite Soil,Zaid,23.2,66,289.7,Mango,Coffee
Uttar Pradesh,Bagpat,Black Soil,Rabi,37.8,65,260.9,Banana,Jowar
Uttar Pradesh,Bagpat,Black Soil,Rabi,36.0,42,59.8,Chickpea,Jowar
Uttar Pradesh,Bagpat,Loamy Soil,Kharif,32.7,56,254.7,Apple,Sugarcane
Uttar Pradesh,Bagpat,Red Soil,Whole Year,36.6,42,300.2,Blackgram,Groundnut
Uttar Pradesh,Bagpat,Laterite Soil,Zaid,38.0,93,220.9,Orange,Coffee
Uttar Pradesh,Bagpat,Red Soil,Whole Year,21.3,79,151.0,Jute,Millets
Uttar Pradesh,Bagpat,Red Soil,Zaid,36.5,84,53.9,Chickpea,Pulses
Uttar Pradesh,Bagpat,Loamy Soil,Kharif,29.1,54,164.3,Pigeonpeas,Maize
Uttar Pradesh,Bagpat,Alluvial Soil,Kharif,27.9,92,247.9,Jute,Sugarcane
Uttar Pradesh,Bagpat,Red Soil,Zaid,27.4,87,276.3,Banana,Millets
Uttar Pradesh,Bagpat,Black Soil,Whole Year,22.3,43,279.6,Papaya,Cotton
Uttar Pradesh,Bagpat,Red Soil,Whole Year,22.8,57,86.0,Watermelon,Millets
Uttar Pradesh,Bagpat,Sandy Soil,Rabi,24.7,71,240.6,Mango,Groundnut
Uttar Pradesh,Bagpat,Alluvial Soil,Zaid,37.2,80,45.7,Pomegranate,Wheat
Uttar Pradesh,Bagpat,Red Soil,Whole Year,18.1,43,194.8,Muskmelon,Millets
Uttar Pradesh,Bagpat,Loamy Soil,Rabi,27.5,61,233.3,Pigeonpeas,Sugarcane
Uttar Pradesh,Bagpat,Alluvial Soil,Kharif,23.3,62,306.4,Muskmelon,Sugarcane
Uttar Pradesh,Bagpat,Red Soil,Rabi,38.7,47,348.8,Orange,Millets
Uttar Pradesh,Bagpat,Red Soil,Zaid,35.3,79,101.5,Watermelon,Millets
Uttar Pradesh,Bagpat,Sandy Soil,Zaid,20.1,63,120.1,Rice,Watermelon
Uttar Pradesh,Bahraich,Alluvial Soil,Zaid,24.4,74,218.3,Coffee,Wheat
Uttar Pradesh,Bahraich,Black Soil,Rabi,23.8,71,37.3,Kidneybeans,Soybean
Uttar Pradesh,Bahraich,Alluvial Soil,Kharif,22.0,84,144.6,Muskmelon,Wheat
Uttar Pradesh,Bahraich,Black Soil,Rabi,39.7,46,115.4,Mungbean,Jowar
Uttar Pradesh,Bahraich,Red Soil,Kharif,19.0,84,111.7,Chickpea,Groundnut
Uttar Pradesh,Bahraich,Black Soil,Rabi,23.8,47,51.9,Pigeonpeas,Soybean
Uttar Pradesh,Bahraich,Red Soil,Rabi,20.8,44,250.5,Kidneybeans,Millets
Uttar Pradesh,Bahraich,Alluvial Soil,Rabi,32.7,74,286.8,Lentil,Rice
Uttar Pradesh,Bahraich,Red Soil,Kharif,29.2,90,133.4,Rice,Millets
Uttar Pradesh,Bahraich,Sandy Soil,Kharif,28.3,40,214.4,Lentil,Muskmelon
Uttar Pradesh,Bahraich,Black Soil,Whole Year,39.3,66,143.4,Watermelon,Jowar
Uttar Pradesh,Bahraich,Alluvial Soil,Rabi,31.1,95,56.9,Rice,Rice
Uttar Pradesh,Bahraich,Laterite Soil,Whole Year,30.6,73,203.6,Muskmelon,Cashew
Uttar Pradesh,Bahraich,Red Soil,Rabi,33.5,56,341.0,Jute,Groundnut
Uttar Pradesh,Bahraich,Loamy Soil,Rabi,31.0,85,86.2,Mungbean,Maize
Uttar Pradesh,Bahraich,Loamy Soil,Rabi,23.0,64,327.6,Kidneybeans,Rice
Uttar Pradesh,Bahraich,Alluvial Soil,Kharif,29.4,70,157.6,Pomegranate,Rice
Uttar Pradesh,Bahraich,Black Soil,Kharif,22.3,79,56.9,Coconut,Soybean
Uttar Pradesh,Bahraich,Black Soil,Kharif,34.8,79,50.8,Mango,Soybean
Uttar Pradesh,Bahraich,Black Soil,Kharif,35.4,86,116.2,Orange,Cotton
Uttar Pradesh,Ballia,Loamy Soil,Kharif,35.6,45,280.4,Muskmelon,Wheat
Uttar Pradesh,Ballia,Sandy Soil,Whole Year,21.3,64,257.0,Coffee,Groundnut
Uttar Pradesh,Ballia,Alluvial Soil,Whole Year,24.7,74,103.6,Grapes,Wheat
Uttar Pradesh,Ballia,Black Soil,Whole Year,24.5,82,291.7,Watermelon,Soybean
Uttar Pradesh,Ballia,Sandy Soil,Whole Year,33.2,94,206.9,Orange,Muskmelon
Uttar Pradesh,Ballia,Red Soil,Whole Year,27.2,47,310.8,Chickpea,Groundnut
Uttar Pradesh,Ballia,Laterite Soil,Rabi,30.9,94,26.9,Watermelon,Tea
Uttar Pradesh,Ballia,Black Soil,Whole Year,39.4,95,153.7,Pomegranate,Jowar
Uttar Pradesh,Ballia,Sandy Soil,Kharif,23.2,81,134.4,Mungbean,Groundnut
Uttar Pradesh,Ballia,Black Soil,Zaid,28.3,82,267.7,Mango,Cotton
Uttar Pradesh,Ballia,Alluvial Soil,Whole Year,18.2,59,267.2,Banana,Rice
Uttar Pradesh,Ballia,Loamy Soil,Zaid,34.3,47,224.7,Papaya,Maize
Uttar Pradesh,Ballia,Black Soil,Whole Year,33.8,57,333.7,Rice,Jowar
Uttar Pradesh,Ballia,Alluvial Soil,Whole Year,31.3,43,322.0,Blackgram,Maize
Uttar Pradesh,Ballia,Sandy Soil,Kharif,32.9,40,179.5,Rice,Muskmelon
Uttar Pradesh,Ballia,Loamy Soil,Rabi,36.4,46,112.5,Coffee,Sugarcane
Uttar Pradesh,Ballia,Sandy Soil,Whole Year,25.5,74,26.4,Coconut,Muskmelon
Uttar Pradesh,Ballia,Red Soil,Whole Year,23.1,92,109.0,Watermelon,Pulses
Uttar Pradesh,Ballia,Laterite Soil,Rabi,21.5,51,210.2,Watermelon,Coffee
Uttar Pradesh,Ballia,Loamy Soil,Kharif,25.7,43,87.9,Jute,Maize
Uttar Pradesh,Balrampur,Red Soil,Whole Year,18.0,88,304.5,Pigeonpeas,Millets
Uttar Pradesh,Balrampur,Loamy Soil,Rabi,21.0,53,111.4,Cotton,Rice
Uttar Pradesh,Balrampur,Black Soil,Zaid,35.2,63,148.9,Muskmelon,Cotton
Uttar Pradesh,Balrampur,Alluvial Soil,Zaid,35.3,59,315.9,Coffee,Wheat
Uttar Pradesh,Balrampur,Red Soil,Zaid,38.6,81,147.8,Orange,Pulses
Uttar Pradesh,Balrampur,Loamy Soil,Whole Year,21.5,78,148.5,Coconut,Rice
Uttar Pradesh,Balrampur,Loamy Soil,Whole Year,35.6,65,146.9,Kidneybeans,Maize
Uttar Pradesh,Balrampur,Alluvial Soil,Rabi,34.2,43,154.1,Jute,Wheat
Uttar Pradesh,Balrampur,Alluvial Soil,Rabi,25.6,75,22.3,Banana,Maize
Uttar Pradesh,Balrampur,Alluvial Soil,Rabi,38.8,65,331.1,Pigeonpeas,Sugarcane
Uttar Pradesh,Balrampur,Sandy Soil,Zaid,25.9,51,100.6,Banana,Watermelon
Uttar Pradesh,Balrampur,Alluvial Soil,Rabi,28.5,85,299.5,Chickpea,Maize
Uttar Pradesh,Balrampur,Laterite Soil,Rabi,37.5,77,143.9,Coffee,Cashew
Uttar Pradesh,Balrampur,Loamy Soil,Kharif,33.1,93,70.6,Lentil,Rice
Uttar Pradesh,Balrampur,Black Soil,Kharif,34.3,91,193.1,Kidneybeans,Cotton
Uttar Pradesh,Balrampur,Loamy Soil,Zaid,31.6,51,349.7,Orange,Rice
Uttar Pradesh,Balrampur,Black Soil,Kharif,30.3,78,302.2,Lentil,Soybean
Uttar Pradesh,Balrampur,Sandy Soil,Rabi,39.4,78,286.7,Mothbeans,Groundnut
Uttar Pradesh,Balrampur,Black Soil,Rabi,28.3,52,198.3,Cotton,Soybean
Uttar Pradesh,Balrampur,Laterite Soil,Kharif,29.2,86,62.6,Kidneybeans,Tea
Uttar Pradesh,Banda,Black Soil,Rabi,28.8,52,209.4,Apple,Soybean
Uttar Pradesh,Banda,Sandy Soil,Rabi,20.4,79,329.1,Grapes,Watermelon
Uttar Pradesh,Banda,Black Soil,Kharif,40.0,92,203.0,Pomegranate,Soybean
Uttar Pradesh,Banda,Red Soil,Zaid,19.4,82,48.1,Muskmelon,Pulses
Uttar Pradesh,Banda,Alluvial Soil,Whole Year,37.7,49,89.9,Jute,Sugarcane
Uttar Pradesh,Banda,Laterite Soil,Kharif,36.9,45,287.8,Banana,Coffee
Uttar Pradesh,Banda,Black Soil,Whole Year,25.1,65,70.6,Maize,Jowar
Uttar Pradesh,Banda,Alluvial Soil,Rabi,18.1,66,168.0,Maize,Rice
Uttar Pradesh,Banda,Alluvial Soil,Zaid,18.4,41,21.0,Papaya,Maize
Uttar Pradesh,Banda,Alluvial Soil,Rabi,27.3,59,179.7,Blackgram,Wheat
Uttar Pradesh,Banda,Loamy Soil,Kharif,20.5,66,129.3,Orange,Wheat
Uttar Pradesh,Banda,Red Soil,Zaid,34.9,90,22.3,Papaya,Groundnut
Uttar Pradesh,Banda,Laterite Soil,Zaid,36.2,86,111.9,Pigeonpeas,Tea
Uttar Pradesh,Banda,Black Soil,Rabi,26.7,66,126.4,Orange,Cotton
Uttar Pradesh,Banda,Red Soil,Rabi,25.0,91,41.8,Grapes,Pulses
Uttar Pradesh,Banda,Loamy Soil,Whole Year,28.1,64,168.8,Pomegranate,Maize
Uttar Pradesh,Banda,Black Soil,Rabi,20.7,44,39.5,Maize,Jowar
Uttar Pradesh,Banda,Laterite Soil,Rabi,35.2,48,88.1,Banana,Tea
Uttar Pradesh,Banda,Alluvial Soil,Rabi,20.2,91,222.6,Kidneybeans,Wheat
Uttar Pradesh,Banda,Laterite Soil,Kharif,18.1,85,241.1,Kidneybeans,Cashew
Uttar Pradesh,Barabanki,Loamy Soil,Kharif,29.6,76,81.6,Pomegranate,Wheat
Uttar Pradesh,Barabanki,Black Soil,Rabi,34.6,48,253.9,Coffee,Jowar
